PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z
08111		0.164130	-0.011856	10.107433	0.006866	0.013161	-0.005341	-0.408936	0.054199	-0.592285
08112		0.180885	-0.035156	10.089130	0.015831	0.017548	0.000763	-0.408936	0.054199	-0.589111
08113		0.188811	-0.024023	10.186776	0.007629	0.007820	-0.002289	-0.406738	0.058838	-0.589600
08114		0.188013	-0.041542	10.131844	0.008202	0.006676	-0.004005	-0.416016	0.052002	-0.597900
08115		0.188930	0.006415	10.095220	0.006104	0.005531	-0.003815	-0.408936	0.054199	-0.586182
08116		0.138885	-0.010908	10.095228	0.014305	0.018311	-0.006294	-0.416260	0.059082	-0.592529
08117		0.176179	-0.005089	10.156265	0.019836	0.016212	-0.008392	-0.406494	0.058838	-0.592529
08118		0.181313	-0.021502	10.028081	0.019836	0.003433	-0.010681	-0.411377	0.054199	-0.592041
08119		0.188586	-0.011386	10.064710	0.016022	0.012398	-0.015259	-0.408691	0.052002	-0.592041
08120		0.186772	-0.035045	10.144063	-0.000954	0.021744	-0.003242	-0.408936	0.054199	-0.589111
08121		0.188192	-0.030173	10.150166	0.006866	0.020027	0.004578	-0.413574	0.052002	-0.594971
08122		0.180594	-0.011027	10.095223	0.010109	0.008202	-0.002289	-0.408936	0.056641	-0.589355
08123		0.176332	0.000544	10.186779	0.010681	0.013161	0.000000	-0.409180	0.058838	-0.589600
08124		0.162903	-0.010562	10.076914	0.011635	0.011063	-0.011444	-0.411377	0.056641	-0.589355
08125		0.182325	0.006499	10.101332	0.007629	0.015450	-0.011444	-0.408936	0.058838	-0.598633
08126		0.205262	0.019095	10.113538	0.000381	0.012589	-0.001717	-0.411377	0.056641	-0.595215
08127		0.188813	0.000469	10.137947	0.009155	0.007820	-0.005341	-0.411377	0.056641	-0.592285
08128		0.163725	-0.028951	10.113531	0.013924	0.004196	-0.004578	-0.413818	0.054443	-0.592041
08129		0.182215	-0.018184	10.052507	0.002289	0.017738	-0.012207	-0.411377	0.052002	-0.585938
08130		0.174337	0.006512	10.162368	0.004196	0.016785	-0.004768	-0.411377	0.056641	-0.595215
08131		0.169800	-0.018126	10.186786	0.003815	0.021553	0.011444	-0.406494	0.056396	-0.592529
08132		0.167837	0.006791	10.107436	0.007820	0.017166	-0.006866	-0.413818	0.052002	-0.588867
08133		0.175986	0.000705	10.144061	0.013733	0.020027	-0.009918	-0.411133	0.054199	-0.595215
08134		0.180218	-0.028461	10.113542	0.014114	0.015640	-0.008392	-0.411377	0.056641	-0.586426
08135		0.200712	-0.011967	10.113540	0.004578	0.013924	-0.008392	-0.406494	0.058838	-0.592529
08136		0.187041	0.031593	10.168469	0.013542	0.014496	-0.006104	-0.411133	0.054199	-0.598145
08137		0.194685	0.000814	10.125744	0.016022	0.012398	-0.003052	-0.411133	0.056641	-0.598389
08138		0.175145	0.002169	10.131845	0.010681	0.010300	-0.007057	-0.411133	0.054199	-0.601074
08139		0.194408	0.006223	10.192888	0.002289	0.017738	-0.003052	-0.411377	0.056641	-0.586426
08140		0.180760	-0.005790	10.168467	0.002289	0.010490	-0.007629	-0.411133	0.052002	-0.594971
08141		0.194376	-0.011629	10.119648	0.011444	0.018501	0.000763	-0.413818	0.056641	-0.592285
08142		0.193116	0.007925	10.101323	0.015259	0.005722	-0.002289	-0.411377	0.054199	-0.589111
08143		0.176567	-0.011812	10.150155	0.007629	0.008583	-0.008392	-0.406494	0.056396	-0.589355
08144		0.168978	-0.041851	10.131854	0.002098	0.020981	-0.005531	-0.411133	0.049805	-0.588623
08145		0.170309	-0.011703	10.131846	0.009918	0.011635	-0.001526	-0.411133	0.054199	-0.598145
08146		0.187174	-0.017274	10.180679	0.001526	0.015640	-0.005531	-0.403809	0.054199	-0.595215
08147		0.182670	-0.017928	10.137948	0.007629	0.008583	0.004578	-0.406250	0.054199	-0.595215
08148		0.200096	-0.004941	10.107429	0.007820	0.007248	-0.004578	-0.411377	0.058838	-0.598633
08149		0.194646	-0.017768	10.125746	0.010681	0.013161	-0.001526	-0.408936	0.054199	-0.589111
08150		0.174838	-0.023238	10.125747	0.002289	0.016403	-0.012398	-0.408936	0.058838	-0.595459
08151		0.177079	-0.018227	10.089110	0.001717	-0.001526	0.003815	-0.406494	0.054199	-0.589111
08152		0.176683	-0.005746	10.101326	0.005341	0.008202	0.008202	-0.408936	0.056641	-0.589355
08153		0.169694	-0.036231	10.113547	0.007629	0.023842	-0.004578	-0.411377	0.052002	-0.588867
08154		0.192215	-0.004389	10.131848	0.018692	0.012207	-0.004578	-0.408936	0.058838	-0.595459
